id,text,topic,tier,is_product,cohort,notes
q001,cheapest monthly online accountants uk,fixed_fee_positioning,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | framing:monthly | reclassified from general_recommendation 2026-08-10: pricing-framing question, belongs with its actual peers not generic recommendation"
q002,what's the cheapest accountant i can get for a ltd company,general_recommendation,mid,TRUE,,"scripted Step 5 check, 2026-08-09"
q003,anyone know a cheap online accountant for a one person ltd co,general_recommendation,long,TRUE,,"scripted Step 5 check, 2026-08-09"
q004,is there a cheap but decent accountant for freelancers,general_recommendation,mid,TRUE,,"scripted Step 5 check, 2026-08-09"
q005,good value accountants for small uk companies,general_recommendation,head,TRUE,,"scripted Step 5 check, 2026-08-09"
q006,affordable accountant for a small uk limited company,general_recommendation,head,TRUE,,"scripted Step 5 check, 2026-08-09"
q007,best london accountants for contractors,general_recommendation,mid,TRUE,,"scripted Step 5 check, 2026-08-09"
q008,cheapest london accountants for freelancers,general_recommendation,mid,TRUE,,"scripted Step 5 check, 2026-08-09"
q009,does it matter if my accountant isn't based in london,general_recommendation,long,FALSE,,"scripted Step 5 check, 2026-08-09"
q010,accountant recommendations london freelancer limited company,general_recommendation,mid,TRUE,,"scripted Step 5 check, 2026-08-09"
q011,ir35 accountants,ir35_compliance,head,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q012,ir35 compliant accountant for contractors,ir35_compliance,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q013,accountant for it contractor ir35 inside vs outside,ir35_compliance,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q014,best accountant for someone operating outside ir35,ir35_compliance,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q015,do i need a specialist ir35 accountant or will any ltd company accountant do,ir35_compliance,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q016,anyone recommend an accountant who actually knows ir35 inside out,ir35_compliance,long,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q017,ir35 accountant recommendations 2026,ir35_compliance,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q018,need an accountant who won't get my ir35 status wrong,ir35_compliance,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q019,is pay monthly or one off accountant better,fixed_fee_positioning,mid,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q020,fixed monthly fee vs one off accountant fee which is better value,fixed_fee_positioning,mid,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q021,"sick of surprise invoices from my accountant, is there a fixed fee option",fixed_fee_positioning,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q022,fixed fee accountant no hidden costs contractor,fixed_fee_positioning,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09 | framing:fixed_fee"
q023,"accountant that does one flat monthly fee, everything included",fixed_fee_positioning,long,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,F,T -> TRUE, 2026-08-09 | framing:monthly"
q024,"looking for predictable accountant costs, hate surprise bills",fixed_fee_positioning,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q025,"small firm fixed fee accountant, not a big impersonal agency",fixed_fee_positioning,mid,TRUE,,"verified from Day 1 real data - matches Day 1 Q4 almost exactly, firms named (just not Mighty) | N=3 recheck F,T,T -> TRUE, 2026-08-09 | framing:fixed_fee"
q026,"accountant that actually understands one person consultancies, fixed monthly cost",fixed_fee_positioning,long,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,T,F -> FALSE, 2026-08-09"
q027,"fixed fee accountant for a one person ltd co, no add on charges",fixed_fee_positioning,long,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,T,T -> TRUE, 2026-08-09 | framing:fixed_fee"
q028,monthly accountant subscription that includes bookkeeping and tax return,fixed_fee_positioning,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09 | framing:monthly"
q029,switching accountants mid tax year limited company,switching_accountants,mid,FALSE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q030,"sick of my accountant never replying to emails, anyone recommend someone actually good for a one person ltd co",switching_accountants,long,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck F,T,T -> TRUE, 2026-08-09"
q031,"my current uk accountant keeps making mistakes with my limited company, how do i find a better one",switching_accountants,long,FALSE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q032,good accountants for contractors switching from a big impersonal firm,switching_accountants,mid,TRUE,,"scripted Step 5 check, 2026-08-09 | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q033,"looking to leave my current uk accountant for my limited company, need someone more responsive",switching_accountants,long,TRUE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q034,best uk accountants for limited company owners fed up with a slow or unresponsive current provider,switching_accountants,long,TRUE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q035,"recommend a uk accountant for my limited company, leaving my current one after a bad experience",switching_accountants,long,TRUE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck T,T,T -> TRUE, 2026-08-09"
q036,uk accountant that can advise on dividends vs salary for my limited company and how much i can safely take out,tax_efficiency,long,FALSE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck F,F,F -> FALSE, 2026-08-09"
q037,uk accountant to help figure out retained profit rules for limited company dividends,tax_efficiency,long,FALSE,,"scripted Step 5 check, 2026-08-09 | text revised 2026-08 - added UK/limited company anchor before N=3 recheck (same bug as freelancer_agency) | N=3 recheck F,F,F -> FALSE, 2026-08-09"
